iter,AMPAS,Projection,MSA,FW,EG
1,-0.12156442409404486,-0.12156442409404486,-0.1670187837246331,-0.015919513333201876,-0.1214661450896946
2,-0.13032789393298105,-0.13316877410370087,-0.16639027721702127,-0.032084423829837935,-0.13278132879824328
3,-0.13508195548471666,-0.1393240399735472,-0.167321873230539,-0.04809112019127926,-0.13905946806682978
4,-0.13797980049841896,-0.14344652659413265,-0.16751688604568013,-0.06394115093909455,-0.143486548125388
5,-0.1401512601170482,-0.14656847329320538,-0.16754724247344718,-0.07963604943869051,-0.14669119159056293
6,-0.14196695455324435,-0.14920888115967393,-0.167321873230539,-0.09517733404765934,-0.14950065456330203
7,-0.14338189328813272,-0.15091751581582472,-0.16745541403850683,-0.09742226133737986,-0.1518448960063936
8,-0.14458803388313657,-0.1523428789071358,-0.16751688604568019,-0.1107638473058174,-0.15346939386251623
9,-0.14565725370444646,-0.15355562498018369,-0.16754177399270975,-0.11212757168609906,-0.15520241955822256
10,-0.14613692938816472,-0.15454344135739534,-0.16754724247344718,-0.11347060980780421,-0.15624204362059466
11,-0.14643539627273755,-0.1554508589256365,-0.1674816038856246,-0.1235031786042142,-0.15767191329865848
12,-0.146646365279279,-0.1562882121743343,-0.16751688604568013,-0.12433082071588948,-0.15833885571034695
13,-0.14680669856356332,-0.15712020816697495,-0.16753625253517493,-0.1251460270556317,-0.15961485317398286
14,-0.14693362470962845,-0.15790693988201993,-0.1675452006824513,-0.1259489844776618,-0.16009512352518432
15,-0.14703769546101492,-0.15862351184279147,-0.16754724247344718,-0.13274033599690793,-0.1612573939288492
16,-0.14712523181952122,-0.1593345752139396,-0.16751688604568013,-0.13326704311835694,-0.1618364776648229
17,-0.14720030328923261,-0.15996054927539793,-0.167532560612254,-0.13378589615664455,-0.16296188797385885
18,-0.1472656776971189,-0.16037135868282396,-0.16754177399270975,-0.139140971152182,-0.16331573296313912
19,-0.14732331853453712,-0.1607402280793975,-0.16754625234843154,-0.13949005990280253,-0.16430525128835732
20,-0.1473746660580138,-0.1611060326304931,-0.16754724247344716,-0.13983397652063323,-0.1647149764107233
21,-0.14742080589651207,-0.16146880517923212,-0.1675300084102041,-0.14017279763649312,-0.16575180447390025
22,-0.1474625751219586,-0.1618285781503542,-0.167538740840862,-0.14050659874583496,-0.16555973253000475
23,-0.14750063164421442,-0.162185383556074,-0.16754405480624524,-0.14407176904202312,-0.16661651773816624
24,-0.1475355011262859,-0.1624769708038047,-0.16754669615534631,-0.14431346664147,-0.16623711246904013
25,-0.14768681227664068,-0.16272382639189137,-0.16754724247344718,-0.14455159981856214,-0.1674735862101922
26,-0.14778643587116855,-0.1629679536909908,-0.16753625253517496,-0.14478622113942646,-0.1669696982718292
27,-0.14786549930144138,-0.16320938652365702,-0.16754177399270978,-0.14751249537510913,-0.16804148134297628
28,-0.14793341431400733,-0.16344815826222375,-0.16754520068245135,-0.14768902653117483,-0.1675843224508283
29,-0.14799445130047215,-0.16362064565524062,-0.16754691914012787,-0.1478629638666949,-0.1687431289684344
30,-0.1480512679700067,-0.16375285423752414,-0.16754724247344724,-0.1480343454933844,-0.16838020416800148
31,-0.1481052733713167,-0.16388338754534681,-0.16753968974227776,-0.1501805943095723,-0.16949908944766703
